主办方,计数
江西财经大学创业学院、信息管理学院,1
江西财经大学创业学院，信息管理学院,1
江西财经大学创业教育学院 等,1
江门市人民政府,1
江门市工业和信息化局,2
江门市工业和信息化局 等,1
汽车之家,2
汽车电子产业联盟 等,1
汽车电子产业联盟、赛迪传媒,1
沈阳农业大学,1
沈阳农业大学教务处、理学院,2
沈阳工业大学电气工程学院,1
沈阳工程学院,2
沈阳工程学院基础教学部,8
沈阳市人民政府 等,1
沈阳市作家协会,1
沈阳市文化广电新闻出版局,1
沈阳市文化旅游和广播电视局,1
沈阳市生产力促进中心,1
沈阳市科协,1
沈阳市精神文明建设指导委员会办公室,1
沈阳建筑大学,2
沈阳建筑大学教务处、外国语学院,1
沈阳建筑大学材料学院,1
沈阳理工大学社团联合会,1
沈飞校企俱乐部,1
沪江技术沙龙,1
河北农业大学,1
河北工业大学,1
河北日报报业集团,1
河北省交通运输厅,1
河北省人民政府,1
河北省传统文化促进会 等,1
河北省住房和城乡建设厅 等,2
河北省体育局,1
河北省作家协会 等,1
河北省农业厅,1
河北省委宣传部 等,2
河北省委网信办 等,1
河北省工业和信息化厅,1
河北省市场监督管理局,1
河北省市场监督管理局 等,1
河北省政务服务管理办公室联合中国建设银行河北省分行 等,1
河北省教育厅,1
河北省文化厅,2
河北省文化和旅游厅 等,1
河北省文物局,1
河北省新闻出版广电局,1
河北省旅游委,1
河北省消防救援总队,1
河北省现场统计学会,1
河北省现场统计学会 等,2
河北省理学研究生教育指导委员会,1
河北省知识产权局 等,1
河北省科学技术厅  唐山市人民政府,1
河北省科学技术厅 等,2
河北省翻译学会,2
河北省莎士比亚学会,1
河北省青年美术家协会,1
河北省高等学校图书情报工作委员会,1
河北省高等学校经济学教学指导委员会 等,4
河北科技大学 等,1
河北科技师范学院数学与信息科技学院,1
河北经贸大学  等,2
河北野人体育文化传播有限公司,1
河南博物馆,1
河南大学非物质文化遗产研究中心,1
河南广播电视台,1
河南徐辉建筑工程设计有限公司 等,1
河南省书法家协会 等,1
河南省保险行业协会,1
河南省大中专毕业生就业促进会 等,1
河南省委网信办 等,1
河南省工程建设协会 等,1
河南省摄影家协会,2
河南省教育厅,1
河南省教育厅 等,2
河南省文化厅,1
河南省文化厅 等,1
河南省文学艺术界联合会 等,1
河南省文旅厅 等,1
河南省文联、中原出版传媒集团、河南广播电视台、郑州市委宣传部,1
河南省民营企业信用发展基金会,1
河南省漫画家协会 等,1
河南省生态环境厅、河南省文联,1
河南省美术家协会,1
河南省翻译协会,2
河南省计算机学会,1
河南科技学院团委 等,5
河南科技学院数学科学学院,1
河南科技学院数学科学学院 等,1
河海大学文天学院教务处基础部 等,2
河西学院,4
河西学院教务处,6
泉州市文化广电和旅游局,1
法制日报社 等,1
泛珠江三角地区模拟联合国大会,1
泛长三角地区模拟联合国大会,1
波兰华沙国际海报双年展组委会,1
注册估值分析师协会（CNCVA）,1
泰安市人民政府,1
泰安市新型工业化强市建设推进委员会办公室 中共泰安市委人才工作领导小组办公室 泰安市人力资源和社会保障局           泰安市教育局 泰安市人民政府国有资产监督管理委员会 共青团泰安市委 承办单位： 泰安市公共就业和人才服务中心 泰山人力资源服务产业园 山东华普亿方教育科技有限公司,1
泰山科技学院,3
泰山科技学院、山东省电子竞技运动协会,1
泰州市人民政府,1
泰达,1
泰隆银行,1
洋其乐教育中心 等,1
洛阳市人民政府,3
洛阳市涧西区人民政府,1
洞见研报 等,1
洪山区人民政府、腾讯科技(深圳)有限公司,1
济南市人力资源和社会保障局 等,1
济南市政府,1
济南陌讯信息科技有限公司,1
济宁市文联、济宁晚报社、济宁市作家协会、济宁市青年作家协会、《鲁艺》杂志社,1
浙江传媒学院 等,1
浙江农林大学信息工程学院,2
浙江农林大学教务处,2
浙江农林大学教务处 等,1
浙江农林大学现代教育技术中心,1
浙江农林大学经济管理学院,1
浙江农林大学集贤学院 等,1
浙江在线新闻网站有限公司 等,1
浙江外国语学院,1
浙江外国语学院教务处,1
浙江大学,1
浙江大学 等,1
浙江大学人文学部,1
浙江大学传媒与国际文化学院 等,2
浙江大学创新创业学院 等,1
浙江大学工程师学院互联网金融分院,2
浙江大学工程师学院互联网金融分院（School of Internet Finance）,1
浙江大学新闻传播学系 等,1
浙江大学管理学院 等,1
浙江工业大学教务处,1
浙江工业职业技术学院教务处,1
浙江工业职业技术学院竞赛组委会,1
浙江广播电视集团 等,1
浙江教育出版社 等,1
浙江日报报业集团,1
浙江海洋大学海洋工程装备学院 等,1
浙江电视台少儿频道、浙江省学生联合会秘书处,1
浙江省人才发展集团,1
浙江省人民政府,1
浙江省作家协会、绍兴市纪委市监委、绍兴市委宣传部,1
浙江省公安厅宣传处 等,1
浙江省创意设计协会,7
浙江省创意设计协会 等,1
浙江省勘察设计行业协会 等,1
浙江省地震局 浙江传媒学院 浙江省科学技术协会 浙江省漫画家协会 浙江省动漫产业学会,1
浙江省大学生“两学一做”知识竞赛组委会,1
浙江省大学生创新创业大赛组委会,1
浙江省大学生科技创新竞赛委员会,1
浙江省大学生科技创新竞赛委员会（浙江省教育厅） 等,1
浙江省大学生科技竞赛委员会,26
浙江省大学生科技竞赛委员会 等,2
浙江省大学生证券投资竞赛委员会、浙江财经大学,1
浙江省大数据发展管理局 等,2
浙江省委宣传部 等,1
浙江省安吉县人民政府 等,2
浙江省工业经济联合会 等,1
浙江省工业设计技术创新服务平台 等,2
浙江省广告协会,1
浙江省应用数学研究会,1
浙江省应用数学研究会 等,2
浙江省摄影艺术学会 等,1
浙江省教委,1
浙江省教育厅,21
浙江省教育厅         浙江省经济和信息化委员会,1
浙江省教育厅  浙江省大学生科技竞赛委员会,1
浙江省教育厅 浙江省大学生科技竞赛委员会,1
浙江省教育厅 等,10
浙江省教育厅、浙江省商务厅 等,1
浙江省教育厅、浙江省经济和信息化委员会,1
浙江省教育厅浙江省大学生科技竞赛委员会,1
浙江省教育厅高教处,2
浙江省数学会,6
浙江省文化厅 等,1
浙江省文化和旅游厅,1
浙江省文化和旅游厅 等,1
浙江省文明办 等,1
浙江省文联 等,1
浙江省新闻出版广电局 等,1
浙江省旅游信息中心 等,1
浙江省旅游局 等,1
浙江省海洋知识创新竞赛组委会,1
浙江省环境科学学会 等,1
浙江省电子产品设计与制作技能竞赛组委会,1
浙江省电子商务促进会 等,1
浙江省科学技术厅 等,2
浙江省绍兴市上虞区e游小镇管理委员会,1
浙江省老子研究会,3
浙江省自然资源厅 等,1
浙江省西塘旅游文化发展有限公司,1
浙江省计算机信息系统安全技术专业委员会、浙江省计算机应用与教育学会,1
浙江省高等学校化学类与化工制药类专业教学指导委员会 等,1
浙江省高职院校技能大赛,1
浙江省高职院校省级技能大赛,1
浙江绍兴市上虞区人民政府,1
浙江越秀外国语学院,1
浦东创业园区,1
浪潮俱乐部全国社群总部,1
海南大学,2
海南省人力资源和社会保障厅 等,1
海南省人力资源社会保障厅 等,1
海南省工业和信息化厅,2
海南省政府,1
海南省教育厅 等,1
海南省旅游商品与装备协会,1
海南省服装协会 海南省服装设计师协会 海南省美术家协会,1
海南省科技厅,1
海南省美术家协会 等,1
海南省节能减排协会,1
海南省道教协会 等,1
海南自贸港国际青年模拟联合国大会组织委员会,1
海口国家高新区发展控股有限公司,1
海口市委宣传部,1
海口龙华初晓行网络科技工作室,2
海尔,1
海尔数字科技（南京）有限公司（全国选拔赛）,1
海尔空调产业,1
海峡两岸中华摄影奖组委会,1
海峡两岸交流促进会 等,2
海星游艇集团,1
海沧区委宣传部 等,1
海海事大学、中国工业设计研究院、恰尔思实业（上海）有限公司、上海红双喜游艇有限公司、江苏米兰船业科创发展有限公司,1
海淀区中小学信息科技教育协会,1
海航集团,1
海螺邦星空创作站,1
淄博市博山镇人民政府 等,1
淄博市文明办 等,1
淄博职业学院教务处,1
淮南师范学院学科与技能竞赛办公室,1
淮南师范学院教务处 等,1
深信服科技股份有限公司,1
深圳东方设计产业研究院、数字设计研究所,1
深圳供电局有限公司 等,1
深圳博物馆 等,1
深圳原创设计时装周组委会,1
深圳国人在线信息技术有限公司,1
深圳国家基因库 等,1
深圳国家基因库、鹏城实验室、深圳华大生命科学研究院,1
深圳国际海报节组委会,1
深圳大学,1
深圳大学外国语学院 等,1
深圳大学微众金融科技学院 等,2
深圳市人力资源和社会保障局,1
深圳市人力资源和社会保障局 深圳市教育局 共青团深圳市委员会 深圳市人民政府港澳事务办公室 香港城市大学,2
深圳市人力资源和社会保障局 等,2
深圳市人民政府,1
深圳市人民政府 等,1
深圳市人民政府侨务办公室 等,1
深圳市作家协会 、深圳市龙岗区文学艺术界联合会 、中共深圳市龙岗区横岗街道工作委员会、深圳市龙岗区横岗街道办事处,1
深圳市作家协会 等,2
深圳市光明新区管委会 等,1
深圳市内衣行业协会,2
深圳市博物馆协会,1
深圳市嘉兰图设计股份有限公司,1
深圳市城市管理和综合执法局,1
深圳市城市管理局,1
深圳市大鹏新区管理委员会 ；,1
深圳市委宣传部,1
深圳市委宣传部 等,1
深圳市宝安区人民政府和中国信息通信研究院,1
深圳市工信局 等,1
深圳市慈善会•百丽国际创新公益基金,1
深圳市插画协会,1
深圳市文体旅游局,1
深圳市时装设计师协会 等,1
深圳市福田区人民政府,2
深圳市经济贸易与信息化委员会 等,1
深圳市经济贸易和信息化委员会 等,2
深圳市绘王动漫科技有限公司,1
深圳市翻译协会,1
深圳市规划和自然资源局（市海洋渔业局）,1
深圳市计算机学会 等,1
深圳市音乐家协会 等,1
深圳市龙岗区文化产业发展办公室、香港中文大学（深圳）、深圳信息职业技术学院,1
深圳希施玛数据科技有限公司,2
深圳技术大学 等,1
深圳腾宝盛信息科技有限公司,1
深圳设计周暨环球设计大奖”鲲鹏奖”组委会,1
深圳设计周暨环球设计大奖组委会,1
深圳证券交易所,1
深焦DeepFocus 等,1
清华 x-lab,1
清华Xlab,1
清华大学 等,27
清华大学-华盛顿大学  等,1
清华大学x－lab,1
清华大学、米兰理工大学、浙江省绍兴市柯桥区人民政府,1
清华大学万科公共卫生与健康学院、清华大学健康中国研究院、公共安全科学技术学会,1
清华大学中国创业研究中心 等,1
清华大学中国创业研究中心、英国牛津大学技术与管理发展中心、加拿大瑞尔森大学加中商业与发展中心,1
清华大学人工智能研究院基础模型研究中心 等,1
清华大学会计协会 等,1
清华大学全球可持续发展研究院 等,2
清华大学公共管理学院,1
清华大学公共管理学院 等,1
清华大学和大数据系统软件国家工程研究中心,1
清华大学国强研究院,3
清华大学土木水利学院建设管理系,1
清华大学地球系统科学系,1
清华大学建筑学院  等,1
清华大学数学系科协,1
清华大学文化创意发展研究院,1
清华大学文化创意发展研究院 等,1
清华大学法学院,1
清华大学科研院,1
清华大学经济管理学院 MBA 教育中心,1
清华大学经济管理学院、清华大学医学院、《中华医院管理杂志》,1
清华大学联合米兰理工大学 等,1
清华经管学院新兴信息技术商业应用实验室,1
清华苏州环境创新研究院 等,1
渝中区商务委员会 等,1
渤海大学学生社团联合会,1
温州市人民政府,1
温州市人民政府 等,2
温州市瓯海区人民政府 等,2
渲云,1
湄洲湾职业技术学院 等,1
湖北交通职业技术学院数学建模协会 等,3
湖北交通职业技术学院数学建模协会，武汉玛雅数模科技有限公司，武汉市数帆科技有限公司，数据科学家数学建模等级认证中心,1
湖北今古传奇传媒集团有限公司,1
湖北体育彩票管理中心,1
湖北师范大学数学与统计学院  等,1
湖北师范大学数学与统计学院 等,5
湖北文理学院,1
湖北省人力资源与社会保障厅 湖北省广播电视局 共青团湖北省委,1
湖北省人力资源和社会保障厅 等,1
湖北省人民政府 国务院侨务办公室 武汉市人民政府,1
湖北省人民政府、国务院侨务办公室、武汉市人民政府,1
湖北省今古传奇传媒集团有限公司,1
湖北省发改委 等,1
湖北省图书馆,1
湖北省大学生信息技术创新大赛组委会,1
湖北省委宣传部 等,1
湖北省委网信办 共青团湖北省委,1
湖北省委网信办 等,2
湖北省工业与应用数学学会,11
湖北省市场监督管理局,1
湖北省市场监管局 等,2
湖北省政务管理办公室,1
湖北省教育厅 等,1
湖北省数学学会,3
湖北省文化厅 等,1
湖北省文化和旅游厅,1
湖北省文化和旅游厅 等,1
湖北省文明办 等,1
湖北省海峡两岸交流促进会 等,1
湖北省生态环境厅 等,1
湖北省科学技术厅、湖北省教育厅、共青团湖北省委,1
湖北省经济和信息化厅 等,2
湖北省翻译工作者协会 等,2
湖北省计算机信息系统集成协会,12
湖北省高校数字图书馆 等,1
湖北省高等学校毕业生就业指导服务中心、湖北省大学生创新创业俱乐部,1
湖北省（黄石）园林博览会,1
湖北第二师范学院 等,1
湖北美术馆 等,1
湖北超星集团,1
湖南卫视,1
湖南大学,1
湖南大学创新创业中心 等,1
湖南大学学生创新创业中心 等,5
湖南大学教务处,7
湖南大学教务处 等,3
湖南大学教务处、湖南大学机械与运载工程学院,1
湖南大学新闻传播与影视艺术学院红枫大学生记者节组委会,1
湖南大学英语口语协会、湖南大学Channel-E协会,1
湖南润泽科技教育有限公司,1
湖南省人民政府,1
湖南省人民政府新闻办公室,1
湖南省住房和城乡建设厅 等,1
湖南省力学学会,2
湖南省司法厅,1
湖南省委法制办 等,1
湖南省工业和信息化厅 等,1
湖南省工业设计协会 等,1
湖南省扶贫开发办公室 湖南日报社,1
湖南省摄影家协会 等,2
湖南省摄影家协会、视觉中国,1
湖南省教育厅,7
湖南省教育厅 等,1
湖南省文化厅,1
湖南省文化和旅游厅,2
湖南省文化和旅游厅 等,1
湖南省文学艺术界联合会 等,2
湖南省文明办 等,1
湖南省文联 等,1
湖南省旅发委 等,1
湖南省机器人科技教育学会,4
湖南省机器人科技教育学会 等,1
湖南省民政厅,1
湖南省益阳市碧云诗社、第四届叶紫杯大赛组委会,1
湖南省知识产权局,1
湖南省科技厅 等,3
湖南省计算机学会,1
湖南省高校数学联盟,1
湖南省高等学校图书情报工作委员会,1
湖南设计艺术家协会 等,1
湖南设计艺术家协会、纹藏·中国,1
湖南首推文化传媒有限公司 等,1
湘潭大学,5
湘潭大学学生社团联合会,1
湘潭大学教务处,13
湘潭大学教务处 等,6
湘潭大学教务处、商学院,1
湘潭大学教务处、能源工程学院,1
湘潭理工学院,2
湛江市经济和信息化局,1
滚石唱片 等,1
滨海新区人民政府主办，滨海新区区委宣传部、滨海新区文广局等,1
滴滴研究院 等,1
演壹圈,1
漳州市工业设计协会,1
潍坊市工业和信息化局,1
澳大利亚,1
烟台大学ACM协会,1
烟台市牟平区文化和旅游局、太合音乐集团,1
焦作隆丰皮草企业有限公司,1
燕山大学创客学院 等,1
燕山大学国家大学科技园,2
燕山大学里仁学院,1
燕山大学里仁学院创新创业指导中心,4
爱普生（中国）有限公司 等,1
爱立信,1
牡丹江市文体广电和旅游局,1
物理协会,1
物联网产教融合联盟,2
物联网创新实验室,1
猿圈科技 等,1
玖富,1
环信,1
环境与测绘学院科技创新协会竞赛部,1
环境与测绘学院科技创新协会竞赛部 等,1
环境与测绘学院科技创新协会项目实践部,1
环境保护部宣传教育中心,1
环境保护部宣传教育中心  等,1
环境保护部宣传教育中心 等,2
环境保护部生态保护红线工作领导小组办公室,1
环太平洋地区大学生微纪录大赛组委会,1
环球小姐大赛组委会,1
环球视觉国际艺术设计奖组委会,1
环青海湖国际公路自行车赛组委会办公室 等,1
现代摄影网,1
珍~古道尔,1
珠海市政务服务数据管理局 等,1
珠海（国家）高新技术产业开发区管委会,2
理学院,5
理学院 等,1
理学院团委学生会理苑杂谈部,1
理学院工科数学教研部,1
瑞士动物保护协会,1
瑞士卢塞恩,1
甘肃中医药大学定西校区 等,1
甘肃省人力资源和社会保障厅 等,1
甘肃省人民政府,1
甘肃省人民政府防范和处理邪教问题办公室,2
甘肃省工业和信息化厅  中国物资再生协会风光设备循环利用专业委员会,1
甘肃省文化厅 等,1
甘肃省文化和旅游厅 等,1
甘肃省文明办、甘肃省教育厅、甘肃省高校工委,1
甘肃省旅游协会,1
生态环境产教联盟 等,3
生态环境产教联盟、北控水务集团,1
生态环境部,2
生态环境部 等,1
生教育学会 等,1
申请方 等,2
电子信息学院电子科技园,1
电子科技大学 等,1
电子科技大学计算机科学与工程学院（网络空间安全学院） 等,1
电工数学专委会 等,1
电气学院自动化测试与控制研究所 等,1
电气工程学院、低碳能源与动力工程学院,1
电气工程学院乒乓球院队 等,1
留坝县人民政府,1
百事可乐,1
百度,6
百度 等,5
百度之星程序设计大赛组织委员会,1
百度公司,1
百度公司 等,2
百度公司、中国科学技术大学联合主办,1
百度在线网络技术（北京）有限公司（简称百度公司）,1
百度手机助手,1
百度技术管理部 等,1
百度数学吧,1
百度新闻 等,1
百度校园,1
百度浏览器和百度趣画,1
百度网盘开放平台,1
百词斩,1
皇家特许管理会计师公会,1
皖江工学院教务部,6
皖江知行社,1
盖娅互娱 等,1
盘县教育局,1
盘锦市总工会 等,1
省人力资源社会保障厅,1
省住房城乡建设厅 等,1
省委人才办 等,1
省委宣传部、省文明办作为指导单位,1
省学位委员会办公室,1
省教育厅 等,2
省教育厅共青团云南省委、云南省教育厅,1
省教育厅共青团内蒙古省委、内蒙古省教育厅,1
省教育厅共青团四川省委、四川省教育厅,1
省教育厅共青团安徽省委、安徽省教育厅,1
省教育厅共青团山西省委、山西省教育厅,1
省教育厅共青团广西省委、广西省教育厅,1
省教育厅共青团新疆自治区省委、新疆自治区省教育厅,1
省教育厅共青团江苏省委、江苏省教育厅,1
省教育厅共青团江西省委、江西省教育厅,1
省教育厅共青团河南省委、河南省教育厅,1
省教育厅共青团浙江省委、浙江省教育厅,1
省教育厅共青团海南省委、海南省教育厅,1
省教育厅共青团湖北省委、湖北省教育厅,1
省教育厅共青团湖南省委、湖南省教育厅,1
省教育厅共青团甘肃省委、甘肃省教育厅,1
省教育厅共青团福建省委、福建省教育厅,1
省教育厅共青团西藏自治区省委、西藏自治区省教育厅,1
省教育厅共青团贵州省委、贵州省教育厅,1
省教育厅共青团辽宁省委、辽宁省教育厅,1
省教育厅共青团青海省委、青海省教育厅,1
省环境保护宣传教育中心,1
省禁毒办,1
省科协科技普及部,1
省科技厅,1
省科技厅 等,1
省精神文明办 等,1
省经信委 等,1
睿远基金管理有限公司 睿远基金投资者教育基地,1
知乎,1
知识产权出版社,2
知识产权新闻宣传中心,1
石家庄市轨道交通有限责任公司,1
石河子大学,6
石河子大学教务处,8
石河子大学经济与管理学院,1
研华文教基金会 等,1
研究生工作部（处）,1
研究生工作部（处） 等,1
碧生源,1
示范性软件学院联盟,2
示范性软件学院联盟 等,1
神居动漫,1
神州数码控股有限公司,4
神州数码有限公司,1
福州大学,1
福州大学教务处,14
福州大学教务处、研究生院,1
福州理工学院,3
福州理工学院 等,1
福州理工学院教务处,2
福州理工学院数学建模协会,1
福建工程学院创新创业教育学院,1
福建日报报业集团,1
福建日报社(报业集团) 等,1
福建日报社（报业集团）,2
福建省人力资源和社会保障厅,1
福建省人力资源和社会保障厅 等,1
福建省人民政府,1
福建省传播学会  华侨大学  澳门科技大学  厦门市集美区文学艺术界联合会  厦门市摄影家协会,1
福建省作家协会 等,1
福建省发展和改革委员会 等,1
福建省团省委 等,1
福建省妇女联合会 等,3
福建省妇联 等,1
福建省委网信办 等,1
福建省委网信办、省文旅厅、省文联,1
福建省工业和信息化厅 等,2
福建省摄影家协会 等,1
福建省教育厅,5
福建省教育厅 等,3
福建省文学艺术界联合会,1
福建省旅游宣传中心  等,1
福建省服装设计师技能大赛组委会,1
福建省林业厅,1
福建省知识产权发展保护中心,1
福建省科学技术厅,1
福建省纳金网信息技术有限公司,1
福建省经信委 等,1
福建省经济和信息化委员会 等,2
福建省美术家协会,1
福建省美术家协会 等,1
福建省美术家协会、德化县陶瓷发展委员会,1
福建省雨田古代玉器博物馆,1
福建省高等学校图书情报工作委员会 福建省高校数字图书馆（FULink）,1
福建省高等教育学会实验室管理专业委员会,1
福特汽车（中国）有限公司,1
福特汽车（中国）有限公司 等,2
科大国盾量子技术股份有限公司,1
科大讯飞,3
科大讯飞 等,1
科学网 等,1
科技部,6
科技部 等,2
科技部办公厅 等,1
科技部火炬高技术产业开发中心,1
科技部火炬高技术产业开发中心 等,2
科技部社会发展科技司,1
科研与素质教育部,1
秦皇岛市人民政府,1
移动摄影大赛组委会,1
空中客车公司 等,1
空中英语教室杂志社,6
立创商城,3
第 46 届 ICPC 国际大学生程序设计竞赛亚洲区域赛（济南）组委会,1
第 47 届 ICPC 国际大学生程序设计竞赛亚洲区域赛（济南）组委会,1
第12届世界运动会,1
第27届中国金鸡百花电影节佛山市执委会办公室,1
第32届柔刚诗歌奖征稿,1
第46届ICPC国际大学生程序设计竞赛亚洲区组委会,1
第47届ICPC亚洲区域赛（合肥）组委会,1
第47届ICPC国际大学生程序设计竞赛亚洲区域赛组委会,1
第47届ICPC国际大学生程序设计竞赛亚洲区域赛（南京）组委会,1
第47届ICPC国际大学生程序设计竞赛亚洲区域赛（西安）组委会,1
第47届ICPC沈阳组委会,1
第6感 等,1
第七届山东文博会执委会,1
第三届“大智慧杯”全国大学生金融精英挑战赛,1
第三届华为大学生电力电子创新大赛组委会,1
第三届泰山·大学生影评大赛,1
第九届大学生广告艺术大赛大连理工大学选拔赛组委会,1
第二十三届北京大学生电影节组委会,2
第二届“三毛散文奖” 等,1
第二届湖南高校大学生征文,1
第五届“羊城杯”公益广告大赛组委会,1
第五届中国“互联网+”大学生创新创业大赛组委会,1
第五届中国非物质文化遗产博览会济南市执委会办公室,1
第五届全国大学生冶金竞赛组织委员会,1
第五届全国智力运动会竞赛委员会,1
第八届数字中国建设峰会组委会,1
第六届新西部大学生（青年）影像节,1
第六届红枫大学生记者节组委会,1
第十七届五一数学建模竞赛组委会 等,1
第十三届“中国软件杯”大学生软件设计大赛组委会,1
第十三届全国运动会筹备委员会,1
第十三届全国高校“模拟市长”大赛 等,1
第十九届“挑战杯”全国大学生课外学术科技作品竞赛组委会,1
第十九届五一数学建模竞赛组委会,1
第十九届全国大学生交通运输科技大赛,1
第十二届全国周培源大学生力学竞赛组委会 中国力学学会,1
第十二届北京大学光华管理学院案例大赛,1
第十五届“挑战杯”全国大学生课外学术科技作品竞赛组委会,1
第十五届全国大学生结构设计竞赛组委会,1
第十四届“北京影协杯”电影剧本征集评选活动,1
第十四届中国大学生服务外包创新创业大赛组织委员会,1
第十四届全国青少年科学影像节,1
第十四届山东省大学生科技节第4届山东省大学生大数据智能大赛组织委员会,1
第十届全国青年科普创新实验暨作品大赛,1
第十届全国高等院校学生“斯维尔杯”建筑信息模型（BIM）应用技能大赛,1
第四届中国绿化博览会执委会,1
第四届全国智力运动会筹备委员会,1
第四届金熊猫全球柔性电子创新创业大赛组委会,1
算法考试中心,1
箭牌基金会 等,1
米兰设计周-中国高校设计学科师生优秀作品展组委会,2
米吉魔方俱乐部,1
粤澳青创国际产业加速器,1
精正数学建模社,3
索尼,2
红创奖设计大赛组委会,2
红十字国际委员会 等,1
红棉中国设计奖组委会,1
红点概念设计,1
红牛维他命饮料有限公司,1
纪元网站,1
织梦网,1
绍兴市委组织部 等,1
绍兴市文化广电新闻出版局,1
绍兴市纪委监委  等,1
绍兴市经济和信息化局,1
经济日报社、中国新闻摄影学会,1
绝味鸭脖 等,1
绵阳市文学艺术界联合会,1
绿色低碳发展智库伙伴 等,1
网易云音乐,1
网易智企 等,1
网易游戏学院,1
网易阴阳师手游,1
网络安全中心 等,1
网络空间安全人才发展基金,1
美国喷气推进实验室（JPL）,1
美国国际法学生联合会(ILSA),1
美国工业与应用数学学会、美国数学协会国防部分析海军研究生院,1
美国数学及其应用联合会,9
美国数学及应用联合会,6
美国海事管理局、美国造船工程学会,1
美国演奏家国际音乐比赛中国赛区组委会 等,1
美国演奏家国际音乐比赛组委会 等,2
美国管理会计师协会（IMA）,2
美国能源部,1
美国能源部（DOE） 等,2
美国计算机协会,1
美国计算机协会（ACM）,1
美国计算机学会,1
美国高通公司 等,1
美国麻省理工学院,1
美少女中国模特大赛组委会,1
美的,1
美的-浙大开放式创新联合实验室,1
美的家用空调事业部,1
美的集团创新中心、美的集团厨房电器事业部、美的集团生活电器事业部、美的集团冰箱事业部,1
美的集团微波和清洁事业部,1
聊城大学东昌学院科技创新协会 等,1
聊城市光速传媒有限公司,1
聊城市光速传媒有限公司 等,1
职此一刻,1
联创团队,1
联合利华,3
联合利华旗下品牌立顿,1
联合国世界旅游组织旅游可持续发展观测点管理与监测中心（MCSTO）,1
联合国开发计划署（UNDP） 等,1
联合国教科文组织 等,1
联合国教科文组织、未来设计师·国际创新设计大赛组委会,1
联合国教科文组织国际工程科技知识中心（IKCEST） 等,1
联合国教科文组织驻华代表处 等,1
联合国新闻部、哈佛大学,1
联合国粮食及农业组织 等,1
联合国语言人才培训体系考试中心,1
联合国采购杯全国大学生英语翻译大赛组委会,1
联合国采购杯全国大学生英语词汇大赛组委会,1
联合国采购杯全国大学生英语阅读大赛组委会,1
联想,3
联想小新 等,1
肇庆学院,3
肇庆学院教务处 等,2
肇庆学院教务处、数学与统计学院,1
肇庆学院教务处、肇庆学院数学与统计学院,1
肇庆学院教务部 等,1
能源青年行暑期调研计划,1
腾讯,9
腾讯 等,2
腾讯GAD 等,1
腾讯GAD游戏开发者平台 等,1
腾讯云加社区 等,1
腾讯优图,1
腾讯公益,1
腾讯公益慈善基金会 等,2
腾讯基金会 等,2
腾讯安全 等,1
腾讯招聘,1
腾讯游戏学堂 等,1
腾讯游戏学院,2
腾讯研究院、清华大学建筑学院、央广网,1
腾讯社交广告,1
腾讯科技(深圳)有限公司,2
腾讯财经,1
腾讯集团,1
自治区党委网信办 等,1
自治区农业农村厅政策与改革处,1
自治区工业和信息化厅 等,1
自治区工业和信息化局 等,1
自治区新闻出版局 等,1
自治区新闻出版广电局、自治区网信办,1
自治区科技厅,1
自治区科技厅 等,1
自然资源部宣传教育中心 中国海洋大学 中国海洋发展基金会 海南热带海洋学院 自然资源部北海局,1
自然资源部宣传教育中心 等,4
舟山市文化和广电旅游体育局,1
航天两大集团公司,1
芦芽山风景管理局 等,1
芬兰万塔城,1
花旗金融信息服务(中国)有限公司,1
花旗金融信息服务（中国）有限公司,1
花瓣网,1
苏宁阅读 等,1
苏州乐聘体育文化策划有限公司 等,1
苏州市人才工作领导小组办公室 等,1
苏州市人民政府 等,1
苏州市吴江区人民政府,2
苏州市大数据管理局 等,3
苏州市文化创意产业联合会 等,1
苏州市文化广电和旅游局,1
苏州广播电视总台广播中心,1
苏格拉底雕塑公园 等,1
苏省市场监督管理局 等,1
苏高教会,1
英伽教育,2
英国工程技术学会,1
英国皇家特许建造学会,1
英格索兰中国,1
英格索兰空调,1
英特尔大连公司,1
英语四六级,2
英飞凌科技（中国）有限公司,1
苹果公司 等,1
茂名市农业农村局,1
荆楚理工学院教务处,1
莘星教育平台,1
莱克电气股份有限公司 等,1
菏泽市人民政府,1
萌芽杂志社,1
葡萄牙航空航天协会,1
蒂森克虏伯电梯（中国）,2
蓝桥云课,2
蓝色光标 等,1
虎丘婚纱城绝设杯中国婚纱礼服设计大赛组委会,1
虎牙,1
虎门镇人民政府,1
蚂蚁财富、蚂蚁保、网商银行,1
蝌蚪五线谱网站 等,2
衢州市经济和信息化委员会 等,1
衣酷适再生时尚设计比赛组委会,1
西北农林大学教务处,2
西北农林大学教务处、 食品科学与工程学院,1
西北农林科技大学教务处,3
西北农林科技大学易班学生工作站,1
西北农林科技大学校团委,4
西北地区模拟联合国大会,1
西北大学数学学院 等,1
西北工业大学,1
西北工业大学体育协会,4
西北工业大学体育部,4
西北工业大学教务处,1
西北工业大学教务处、理学院,1
西北工业大学数学建模协会 等,1
西北工业大学数模协会,1
西北工业大学明德学院 等,1
西北工业大学校团委、学生数学建模协会,1
西北工业大学电子信息学院实验中心,1
西北师范大学 等,1
西北师范大学数学与统计学院数学社,1
西北高校英文辩论赛组委会,1
西南交大教务处,2
